
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000848                       # Number of seconds simulated (Second)
board.cache_hierarchy.clusters0.l1d_cache.StoreCondReq.avgMshrMissLatency::total 15687.630000                       # average StoreCondReq mshr miss latency ((Tick/Count))
board.cache_hierarchy.clusters0.l1d_cache.SwapReq.hits::processor.cores0.core.data           33                       # number of SwapReq hits (Count)
board.cache_hierarchy.clusters0.l1d_cache.SwapReq.hits::total           33                       # number of SwapReq hits (Count)
board.cache_hierarchy.clusters0.l1d_cache.SwapReq.misses::processor.cores0.core.data          369                       # number of SwapReq misses (Count)
board.cache_hierarchy.clusters0.l1d_cache.SwapReq.misses::total          369                       # number of SwapReq misses (Count)
board.cache_hierarchy.clusters0.l1d_cache.SwapReq.missLatency::processor.cores0.core.data      3473523                       # number of SwapReq miss ticks (Tick)
board.cache_hierarchy.clusters0.l1d_cache.SwapReq.missLatency::total      3473523                       # number of SwapReq miss ticks (Tick)
board.cache_hierarchy.clusters0.l1d_cache.SwapReq.accesses::processor.cores0.core.data          402                       # number of SwapReq accesses(hits+misses) (Count)
board.cache_hierarchy.clusters0.l1d_cache.SwapReq.accesses::total          402                       # number of SwapReq accesses(hits+misses) (Count)
board.cache_hierarchy.clusters0.l1d_cache.SwapReq.missRate::processor.cores0.core.data     0.917910                       # miss rate for SwapReq accesses (Ratio)
board.cache_hierarchy.clusters0.l1d_cache.SwapReq.missRate::total     0.917910                       # miss rate for SwapReq accesses (Ratio)
board.cache_hierarchy.clusters0.l1d_cache.SwapReq.avgMissLatency::processor.cores0.core.data  9413.341463                       # average SwapReq miss latency ((Tick/Count))
board.cache_hierarchy.clusters0.l1d_cache.SwapReq.avgMissLatency::total  9413.341463                       # average SwapReq miss latency ((Tick/Count))
board.cache_hierarchy.clusters0.l1d_cache.SwapReq.mshrMisses::processor.cores0.core.data          369                       # number of SwapReq MSHR misses (Count)
board.cache_hierarchy.clusters0.l1d_cache.SwapReq.mshrMisses::total          369                       # number of SwapReq MSHR misses (Count)
board.cache_hierarchy.clusters0.l1d_cache.SwapReq.mshrMissLatency::processor.cores0.core.data      3350646                       # number of SwapReq MSHR miss ticks (Tick)
board.cache_hierarchy.clusters0.l1d_cache.SwapReq.mshrMissLatency::total      3350646                       # number of SwapReq MSHR miss ticks (Tick)
board.cache_hierarchy.clusters0.l1d_cache.SwapReq.mshrMissRate::processor.cores0.core.data     0.917910                       # mshr miss rate for SwapReq accesses (Ratio)
board.cache_hierarchy.clusters0.l1d_cache.SwapReq.mshrMissRate::total     0.917910                       # mshr miss rate for SwapReq accesses (Ratio)
